Jméno rubriky;Název článku/videa;Views;Dokoukanost do 25 %;Dokoukanost do 50 %;Dokoukanost do 75 %;Dokoukanost do 100 %;Extrahované info;Novinky URL
Evropa;Posledních 32 vteřin. Nové záběry zachycují manévr polské stíhačky i tragický dopad;288882;91.89703754474144;90.92951447303744;78.96061367617227;67.74911555583249;EPRA SKYLINE / Damian Banasik, Reuters;https://www.novinky.cz/clanek/zahranicni-evropa-poslednich-32-vterin-letu-nove-zabery-zachycuji-manevr-polske-stihacky-i-tragicky-dopad-40536342
Domácí;„Asi nějaký chudák z Ukrajiny.“ Poslankyně SPD Pošarová se navezla do řidiče BMW;214384;90.005317561012;88.60549294723486;82.76830360474662;82.74078289424584;Facebook Marie Pošarové;https://www.novinky.cz/clanek/domaci-asi-nejaky-chudak-z-ukrajiny-poslankyne-spd-posarova-se-navezla-do-ridice-bmw-40535707
Evropa;V polské F-16 zahynul jeden z nejzkušenějších pilotů. Kolega viní armádu;199237;88.97192790495741;82.49371351706762;81.27004522252392;79.47720553913179;síť X/NEXTA;https://www.novinky.cz/clanek/zahranicni-evropa-v-polsku-se-pri-zkousce-na-leteckou-prehlidku-zritila-f-16-40536212
Krimi;Nový podvod: Zloději dokážou vybírat peníze ve chvíli, kdy oběť stojí u bankomatu;186271;72.66992714915365;53.09629518282502;38.98137659646429;2.176398902674061;Aktu.cz;https://www.novinky.cz/clanek/krimi-novy-podvod-zlodeji-dokazou-vybirat-penize-ve-chvili-kdy-obet-stoji-u-bankomatu-40535797
Koktejl;Bena si přivezl majitel až z Vietnamu. Skončil v českokrumlovském útulku;175530;74.50977040961659;65.32786418276079;58.04022104483564;53.45183159573862;Psí útulek města Český Krumlov;https://www.novinky.cz/clanek/koktejl-bena-si-privezl-majitel-az-z-vietnamu-skoncil-v-ceskokrumlovskem-utulku-40535009
Domácí;V obřím podvodu přišli o své peníze i Felix Slováček či Martina Sáblíková;166260;84.96872368579334;73.60279080957537;64.24335378323109;56.76771322025743;Jaroslav Kmenta;https://www.novinky.cz/clanek/domaci-v-obrim-podvodu-prisli-o-sve-penize-i-felix-slovacek-ci-martina-sablikova-40536279
Krimi;Jednadvacetiletá řidička škodovky zahynula na jihu Čech. Ve vraku ji našli až ráno mrtvou;144698;84.40406916474312;74.94644017194433;56.34563020912521;50.8424442632241;Zdroj nenalezen - odkaz nenalezen;
Krimi;Rozřezával na mně oblečení. Bála jsem se, co přijde. Svědkyně popsala setkání s vraždícím primářem;127589;94.352961462195;94.01202298003749;90.77898564923308;90.77820188260743;Zdroj nenalezen - odkaz nenalezen;
Počasí;Do Česka dorazí bouřky;143266;0.7845546047212876;0.2736169084081359;0.1333184426172295;0.0991163290662125;Sitour / Novinky.cz;https://www.novinky.cz/clanek/pocasi-do-ceska-dorazi-bourky-40536137
Zahraniční;Ukrajina útočí v hloubi Ruska vlastními zbraněmi. Bez ohledu na USA, oznámil Zelenskyj;116530;91.90165622586458;91.5789925341114;85.83369089504849;85.83283274693213;Reuters;https://www.novinky.cz/clanek/zahranicni-ukrajina-utoci-v-hloubi-ruska-vlastnimi-zbranemi-bez-ohledu-na-usa-oznamil-zelenskyj-40535621
