Column1
Jméno rubriky,Název článku/videa,Views,Dokoukanost do 25 %,Dokoukanost do 50 %,Dokoukanost do 75 %,Dokoukanost do 100 %
Krimi,Nebyl důvod střílet. Bezpečnostní odborník hodnotí mrazivé video ze smrtelného zásahu policisty v Ďáblicích,397177,81.19629283669497,76.89443245706575,76.89443245706575,76.89367712631899
Počasí,Na jihu Španělska udeřila „Satanova bouře“, lidé prchali z pláže,271875,92.14050574712644,83.65829885057471,82.80937931034484,76.24643678160919
Krimi,Řidič kamionu držel na dálnici u Brna místo volantu talíř a obědval. Natočila ho policejní dodávka,245205,92.9328521033421,82.52319487775534,82.52319487775534,82.41512204074142
Evropa,Ze vzlétajícího letadla na Korfu šlehaly plameny. Cestující už psali SMS na rozloučenou,232821,91.40842106167399,90.71045996709918,85.65163795362102,85.65163795362102
Parlamentní volby,Chcete mi vrazit? Fiala v Jihlavě zaskočil neodbytného odpůrce,209981,88.4456212704959,79.14430353222434,69.86155890294836,59.31012805920536
Zahraniční,Francouzský influencer zemřel v přímém přenosu po dvanácti dnech týrání a ponižování,205647,87.76495645450699,87.3579483289326,80.88423366253824,80.88423366253824
Zahraniční,Čech v Egyptě poranil mořskou želvu. Vyryl jí jméno na krunýř,184841,91.67392515729735,82.7197429141803,82.29397157557035,75.2976882834436
Krimi,Řidič ve Šternberku ujížděl hlídce a na přejezdu ho smetl vlak. Policie zveřejnila video,174134,93.62674721765997,90.21443256342816,84.90243146082902,70.57955367705331
Krimi,Policie hledá osahávače z metra, oběť si ho stihla zblízka natočit,168945,79.35067625558614,70.17786853709788,62.77841901210454,54.36384622214329
Koktejl,Záběry jako z komedie. Bílá holubice se během přehlídky urputně držela čepice pochodujícího vojáka,141904,93.4244277821626,87.46335550794903,86.68466005186605,85.70794339835382
Válka na Ukrajině,Zelenskyj si v Bílém domě rýpl do novináře, který ho v únoru urazil,121360,89.89782465392221,84.83932102834541,82.98862887277522,79.70336189848385
Domácí,Bezpečnostní expert: Klusovo video vzbuzuje nenávist. „Prolhaný idiot“ je podle něj hyperbola,114008,77.88400813977965,64.6945828362922,53.92954880359273,44.29250578906743
Válka na Ukrajině,ON-LINE: Bezpečnostní záruky budou, slíbil Trump. Ale žádné vojáky NATO, reaguje Rusko,102002,2.304856767514362,0.724495598125527,0.3539146291249191,0.2303876394580498
Zahraniční,Krokodýl před očima rodiny unesl muže. Vydal jej až po několika hodinách mrtvého,100528,91.64511379914055,88.04810600031831,83.42252904663377,83.42252904663377
Věda a školy,Světový objev v umělé jeskyni kroměřížského zámku. Je plná polodrahokamů,98832,79.68674113647401,59.81665857212239,48.92443742917274,38.51485348874859
Koktejl,Krokodýl vnikl do supermarketu. Na dlaždičkách mezi regály mu to děsně klouzalo,95488,76.49442861930295,65.88262399463807,51.65675268096515,42.3676273458445
Bydlení,Postavili dům, do kterého nechali dírou ve zdi prorůstat strom,92620,87.86115309868279,78.19369466637876,67.4627510256964,67.46167134528179
Válka na Ukrajině,ON-LINE: Schůzka Putina a Zelenského je dohodnuta,89344,0.9983882521489972,0.5853778653295129,0.4297994269340975,0.3279459169054441
