Jméno rubriky,Název článku/videa,Views,Dokoukanost do 25 %,Dokoukanost do 50 %,Dokoukanost do 75 %,Dokoukanost do 100 %
Krimi,Nebyl důvod střílet. Bezpečnostní odborník hodnotí mrazivé video ze smrtelného zásahu policisty v Ďáblicích,397177,81,19629284,76,89443246,76,89443246,76,89367713
Počasí,Na jihu Španělska udeřila „Satanova bouře“, lidé prchali z pláže,271875,92,14050575,83,65829885,82,80937931,76,24643678
Krimi,Řidič kamionu držel na dálnici u Brna místo volantu talíř a obědval. Natočila ho policejní dodávka,245205,92,9328521,82,52319488,82,52319488,82,41512204
Evropa,Ze vzlétajícího letadla na Korfu šlehaly plameny. Cestující už psali SMS na rozloučenou,232821,91,40842106,90,71045997,85,65163795,85,65163795
Parlamentní volby,Chcete mi vrazit? Fiala v Jihlavě zaskočil neodbytného odpůrce,209981,88,44562127,79,14430353,69,8615589,59,31012806
Zahraniční,Francouzský influencer zemřel v přímém přenosu po dvanácti dnech týrání a ponižování,205647,87,76495645,87,35794833,80,88423366,80,88423366
Zahraniční,Čech v Egyptě poranil mořskou želvu. Vyryl jí jméno na krunýř,184841,91,67392516,82,71974291,82,29397158,75,29768828
Krimi,Řidič ve Šternberku ujížděl hlídce a na přejezdu ho smetl vlak. Policie zveřejnila video,174134,93,62674722,90,21443256,84,90243146,70,57955368
Krimi,Policie hledá osahávače z metra, oběť si ho stihla zblízka natočit,168945,79,35067626,70,17786854,62,77841901,54,36384622
Koktejl,Záběry jako z komedie. Bílá holubice se během přehlídky urputně držela čepice pochodujícího vojáka,141904,93,42442778,87,46335551,86,68466005,85,7079434
Válka na Ukrajině,Zelenskyj si v Bílém domě rýpl do novináře, který ho v únoru urazil,121360,89,89782465,84,83932103,82,98862887,79,7033619
Domácí,Bezpečnostní expert: Klusovo video vzbuzuje nenávist. „Prolhaný idiot“ je podle něj hyperbola,114008,77,88400814,64,69458284,53,9295488,44,29250579
Válka na Ukrajině,ON-LINE: Bezpečnostní záruky budou, slíbil Trump. Ale žádné vojáky NATO, reaguje Rusko,102002,2,304856768,0,724495598,0,353914629,0,230387639
Zahraniční,Krokodýl před očima rodiny unesl muže. Vydal jej až po několika hodinách mrtvého,100528,91,6451138,88,048106,83,42252905,83,42252905
Věda a školy,Světový objev v umělé jeskyni kroměřížského zámku. Je plná polodrahokamů,98832,79,68674114,59,81665857,48,92443743,38,51485349
Koktejl,Krokodýl vnikl do supermarketu. Na dlaždičkách mezi regály mu to děsně klouzalo,95488,76,49442862,65,88262399,51,65675268,42,36762735
Bydlení,Postavili dům, do kterého nechali dírou ve zdi prorůstat strom,92620,87,8611531,78,19369467,67,46275103,67,46167135
Válka na Ukrajině,ON-LINE: Schůzka Putina a Zelenského je dohodnuta,89344,0,998388252,0,585377865,0,429799427,0,327945917
Válka na Ukrajině,Pohodlně udeří na Moskvu. Zelenskyj oznámil sériovou výrobu raket Flamingo,84838,84,64249511,75,96595865,67,08432542,56,50769702
