Název videa;Views;Dokoukanost 25 %;Dokoukanost 50 %;Dokoukanost 75 %;Dokoukanost 100 %;Dokoukanost 25 %;Dokoukanost 50 %;Dokoukanost 75 %;Dokoukanost 100 %;KP 28 (Views);KP 7 (Views)
Krimi - Nebyl důvod střílet. Bezpečnostní odborník hodnotí mrazivé video ze smrtelného zásahu policisty v Ďáblicích;397177;322493;305407;305407;305404;81,19629284;76,89443246;76,89443246;76,89367713;;
Počasí - Na jihu Španělska udeřila „Satanova bouře“, lidé prchali z pláže;271875;250507;227446;225138;207295;92,14050575;83,65829885;82,80937931;76,24643678;;
Krimi - Řidič kamionu držel na dálnici u Brna místo volantu talíř a obědval. Natočila ho policejní dodávka;245205;227876;202351;202351;202086;92,9328521;82,52319488;82,52319488;82,41512204;;
Evropa - Ze vzlétajícího letadla na Korfu šlehaly plameny. Cestující už psali SMS na rozloučenou;232821;212818;211193;199415;199415;91,40842106;90,71045997;85,65163795;85,65163795;;230027,7143
Parlamentní volby - Chcete mi vrazit? Fiala v Jihlavě zaskočil neodbytného odpůrce;209981;185719;166188;146696;124540;88,44562127;79,14430353;69,8615589;59,31012806;;
Zahraniční - Francouzský influencer zemřel v přímém přenosu po dvanácti dnech týrání a ponižování;205647;180486;179649;166336;166336;87,76495645;87,35794833;80,88423366;80,88423366;;
Zahraniční - Čech v Egyptě poranil mořskou želvu. Vyryl jí jméno na krunýř;184841;169451;152900;152113;139181;91,67392516;82,71974291;82,29397158;75,29768828;;
Krimi - Řidič ve Šternberku ujížděl hlídce a na přejezdu ho smetl vlak. Policie zveřejnila video;174134;163036;157094;147844;122903;93,62674722;90,21443256;84,90243146;70,57955368;;
Krimi - Policie hledá osahávače z metra, oběť si ho stihla zblízka natočit;168945;134059;118562;106061;91845;79,35067626;70,17786854;62,77841901;54,36384622;;
Koktejl - Záběry jako z komedie. Bílá holubice se během přehlídky urputně držela čepice pochodujícího vojáka;141904;132573;124114;123009;121623;93,42442778;87,46335551;86,68466005;85,7079434;;
Válka na Ukrajině - Zelenskyj si v Bílém domě rýpl do novináře, který ho v únoru urazil;121360;109100;102961;100715;96728;89,89782465;84,83932103;82,98862887;79,7033619;;
Domácí - Bezpečnostní expert: Klusovo video vzbuzuje nenávist. „Prolhaný idiot“ je podle něj hyperbola;114008;88794;73757;61484;50497;77,88400814;64,69458284;53,9295488;44,29250579;;
Válka na Ukrajině - ON-LINE: Bezpečnostní záruky budou, slíbil Trump. Ale žádné vojáky NATO, reaguje Rusko;102002;2351;739;361;235;2,304856768;0,724495598;0,353914629;0,230387639;;102002
Zahraniční - Krokodýl před očima rodiny unesl muže. Vydal jej až po několika hodinách mrtvého;100528;92129;88513;83863;83863;91,6451138;88,048106;83,42252905;83,42252905;;
