Jméno rubriky,Název článku/videa,Views,Extrahované info,Novinky URL
Krimi,Nebyl důvod střílet. Bezpečnostní odborník hodnotí mrazivé video ze smrtelného zásahu policisty v Ďáblicích,397177,síť X,https://www.novinky.cz/clanek/krimi-nebyl-duvod-strilet-bezpecnostni-odbornik-hodnoti-mrazive-video-ze-smrtelneho-zasahu-policisty-v-dablicich-40535498
Krimi,Řidič kamionu držel na dálnici u Brna místo volantu talíř a obědval. Natočila ho policejní dodávka,245205,Policie ČR,https://www.novinky.cz/clanek/krimi-ridic-kamionu-drzel-na-dalnici-u-brna-misto-volantu-talir-a-obedval-natocila-ho-policejni-dodavka-40535161
Evropa,Ze vzlétajícího letadla na Korfu šlehaly plameny. Cestující už psali SMS na rozloučenou,232821,Nexta,https://www.novinky.cz/clanek/zahranicni-evropa-ze-vzletajiciho-letadla-na-korfu-slehaly-plameny-cestujici-uz-psali-sms-na-rozloucenou-40534628
Parlamentní volby,Chcete mi vrazit? Fiala v Jihlavě zaskočil neodbytného odpůrce,209981,"Lenka Horáková, Novinky",https://www.novinky.cz/clanek/volby-do-poslanecke-snemovny-chcete-mi-vrazit-fiala-v-jihlave-zaskocil-neodbytneho-odpurce-40535460?cwtkn=di9_ZGkvNy8-a241NTQ8PCBoOj48IDk_NG8gbzVubyBpOD1pbm5rPjk1b2gvIS9vZS83L2J1SEhIe3tGSmY5LyEvfmUvNy9PS2BDaVJmTENoNS8hL3l-Lzc8Ojg4NTU0PD4-Izw7PHA
Zahraniční,Francouzský influencer zemřel v přímém přenosu po dvanácti dnech týrání a ponižování,205647,Reuters,https://www.novinky.cz/clanek/zahranicni-francouzsky-influencer-zemrel-v-primem-prenosu-po-dvanacti-dnech-tyrani-a-ponizovani-40535266?cwtkn=di9-ZS83L0pqP0VnQW9lNGBiLyEveX4vNzw6ODg1OTs0NDkjNDQ8IS9_ZGkvNy9oaTs5OmtrPyA8P2g5IDk6OT8gbGg-aCA_a2s1P2k6Ozs1b28vIS9vZS83L2RIbzh3NTVbfkdIL3A
Zahraniční,Čech v Egyptě poranil mořskou želvu. Vyryl jí jméno na krunýř,184841,Se svolením Barbory Hůlkové,https://www.novinky.cz/clanek/zahranicni-cech-v-egypte-poranil-morskou-zelvu-vyryl-ji-jmeno-na-krunyr-40534763
Krimi,Řidič ve Šternberku ujížděl hlídce a na přejezdu ho smetl vlak. Policie zveřejnila video,174134,Policie ČR,https://www.novinky.cz/clanek/krimi-ridic-ve-sternberku-ujizdel-hlidce-a-na-prejezdu-ho-smetl-vlak-policie-zverejnila-video-40534857
Koktejl,Záběry jako z komedie. Bílá holubice se během přehlídky urputně držela čepice pochodujícího vojáka,141904,AP,https://www.novinky.cz/clanek/koktejl-zabery-jako-z-komedie-bila-holubice-se-behem-prehlidky-urputne-drzela-cepice-pochodujiciho-vojaka-40534852
Domácí,Bezpečnostní expert: Klusovo video vzbuzuje nenávist. „Prolhaný idiot“ je podle něj hyperbola,114008,"Marek Bádal, Novinky",https://www.novinky.cz/clanek/domaci-bezpecnostni-expert-klusovo-video-vzbuzuje-nenavist-prolhany-idiot-je-podle-nej-hyperbola-40535248
Zahraniční,Krokodýl před očima rodiny unesl muže. Vydal jej až po několika hodinách mrtvého,100528,AP,https://www.novinky.cz/clanek/zahranicni-krokodyl-pred-ocima-rodiny-unesl-muze-vydal-jej-az-po-nekolika-hodinach-mrtveho-40535434
